,Sleep,Appetite,Interest,Fatigue,Worthlessness,Concentration,Agitation,Suicidal Ideation,Sleep Disturbance,Aggression,Panic Attacks,Hopelessness,Restlessness,Low Energy
Sleep,1.0,0.01755065892466372,0.01771543565279184,-0.1956358063107647,-0.19319766507737826,0.017573899710292065,-0.19637664934056334,-0.19614109234941246,0.006945650889371604,-0.20211121866541648,-0.20841924359282896,-0.19488545516302394,-0.19614109234941213,-0.18263413912090598
Appetite,0.01755065892466372,1.0,0.994745512148505,-0.41421594032452735,-0.41940011600895283,0.9960308677213653,-0.4105769969374816,-0.41523368156129065,0.9955126196702727,-0.40684885188401015,-0.3963846081395981,-0.41267965192462663,-0.4152336815612902,-0.30650232315265724
Interest,0.01771543565279184,0.994745512148505,1.0,-0.41407619283461694,-0.4166792169928751,0.985510011232785,-0.4130303679212126,-0.412540041619096,0.9901784611990917,-0.40421007223730304,-0.3976649069988338,-0.4151098786653715,-0.41254004161909624,-0.3142720292630664
Fatigue,-0.1956358063107647,-0.41421594032452735,-0.41407619283461694,1.0,0.9963324671403878,-0.4121971320879208,0.9931426234908479,0.9962901725766836,-0.40076712666960473,0.9962994289916628,0.9951160306851041,0.9950165919988017,0.9950512610910254,0.8696905466517221
Worthlessness,-0.19319766507737826,-0.41940011600895283,-0.4166792169928751,0.9963324671403878,1.0,-0.41995549049548375,0.9932693854878966,0.997555794334076,-0.40608219431338144,0.9964253994455833,0.991580048270921,0.9938694838163653,0.997555794334075,0.8681067332674829
Concentration,0.017573899710292065,0.9960308677213653,0.985510011232785,-0.4121971320879208,-0.41995549049548375,1.0,-0.4059637731975011,-0.4157835388071162,0.9914731834160417,-0.4073876058413558,-0.3943134401465193,-0.40807867360855177,-0.41578353880711605,-0.29663750677136097
Agitation,-0.19637664934056334,-0.4105769969374816,-0.4130303679212126,0.9931426234908479,0.9932693854878966,-0.4059637731975011,1.0,0.9919468099049629,-0.39703751663209025,0.9931272805758241,0.9956614584401067,0.996873909331461,0.9956796711359738,0.8729343939916283
Suicidal Ideation,-0.19614109234941246,-0.41523368156129065,-0.412540041619096,0.9962901725766836,0.997555794334076,-0.4157835388071162,0.9919468099049629,1.0,-0.40186581975006935,0.9938467163328375,0.9914243219450869,0.9938092606840919,0.9962970539864384,0.8664641448119524
Sleep Disturbance,0.006945650889371604,0.9955126196702727,0.9901784611990917,-0.40076712666960473,-0.40608219431338144,0.9914731834160417,-0.39703751663209025,-0.40186581975006935,1.0,-0.3933787419237554,-0.38271609743053947,-0.39916601256292167,-0.40186581975006913,-0.29396662883922886
Aggression,-0.20211121866541648,-0.40684885188401015,-0.40421007223730304,0.9962994289916628,0.9964253994455833,-0.4073876058413558,0.9931272805758241,0.9938467163328375,-0.3933787419237554,1.0,0.9949897341947543,0.9900286352514932,0.9975768751868885,0.8650976172154337
Panic Attacks,-0.20841924359282896,-0.3963846081395981,-0.3976649069988338,0.9951160306851041,0.991580048270921,-0.3943134401465193,0.9956614584401067,0.9914243219450869,-0.38271609743053947,0.9949897341947543,1.0,0.995079028648496,0.9939298901067661,0.8655390801037791
Hopelessness,-0.19488545516302394,-0.41267965192462663,-0.4151098786653715,0.9950165919988017,0.9938694838163653,-0.40807867360855177,0.996873909331461,0.9938092606840919,-0.39916601256292167,0.9900286352514932,0.995079028648496,1.0,0.99256725642162,0.8718616127761979
Restlessness,-0.19614109234941213,-0.4152336815612902,-0.41254004161909624,0.9950512610910254,0.997555794334075,-0.41578353880711605,0.9956796711359738,0.9962970539864384,-0.40186581975006913,0.9975768751868885,0.9939298901067661,0.99256725642162,1.0,0.8683227688631849
Low Energy,-0.18263413912090598,-0.30650232315265724,-0.3142720292630664,0.8696905466517221,0.8681067332674829,-0.29663750677136097,0.8729343939916283,0.8664641448119524,-0.29396662883922886,0.8650976172154337,0.8655390801037791,0.8718616127761979,0.8683227688631849,1.0
